"candidate_name","win_count","avg_percentage"
"JASON T SMITH",1,0.66650756167412
"JAY DICKEY",4,0.562919479500393
"JAY KIM",3,0.600879376073954
"JAY OBERNOLTE",2,0.585425179035711
"JEAN SCHMIDT",3,0.512446750478127
"JEB BRADLEY",2,0.607260613860693
"JEB HENSARLING",8,0.711152901513424
"JEFF DENHAM",3,0.563200104885397
"JEFF DENHEM",1,0.561489200906885
"JEFF DUNCAN",7,0.72807318965981
"JEFF FLAKE",6,0.670955330594258
"JEFF FORTENBERRY",9,0.645174962187352
"JEFF MILLER",7,0.728000716765488
"JEFFERSON VAN DREW",2,0.553977881058823
"JEN A KIGGANS",1,0.516262845290846
"JENNIFER DUNN",6,0.639372255588421
"JENNIFER ZIELINSKI",1,0.216799958061266
"JERRY CARL",1,0.643698245080909
"JERRY L CARL",1,0.836110615521856
"JERRY LEWIS",17,0.69423865237802
"JERRY MORAN",7,0.836839943625778
"JERRY SHUSTER",3,0.263271468824096
"JERRY WELLER",7,0.579508171503522
"JIM BAIRD",1,0.640600254539353
"JIM BANKS",4,0.669911930899455
"JIM BRIDENSTINE",3,0.878229213399133
"JIM BUNN",1,0.498197983712071
"JIM BUNNING",6,0.671355518076838
"JIM COLLINS",1,0.792881693395438
"JIM COURTER",5,0.672254489020902
"JIM DEMINT",3,0.68746602508198
"JIM DUNN",1,0.506182162255602
"JIM GERLACH",6,0.532304181202821
"JIM GIBBONS",5,0.690572875799625
"JIM HAGEDORN",3,0.48130162883077
"JIM JEFFORDS",1,0.692272250547132
"JIM JEFFRIES",1,0.538709884955286
"JIM JORDAN",9,0.658849560140709
"JIM KOLBE",11,0.624330727699401
"JIM LEACH",7,0.686323884036848
"JIM LIGHTFOOT",4,0.596569682172696
"JIM MCCRERY",9,0.894611879901055
"JIM NUSSLE",8,0.540307284269794
"JIM RAMSTAD",8,0.689046107674012
"JIM RENACCI",1,0.520821125026688
"JIM ROSS LIGHTFOOT",2,0.549949322536831
"JIM RYAN",1,0.609537877426312
"JIM RYUN",4,0.590420177375078
